icao24,callsign,origin_country,longitude,latitude,baro_altitude,true_track,velocity_kmh,origin_country
a6eb12,LXJ545  ,United States,-81.4722,26.9919,3017.52,172.25,755.1,United States
4952c9,TAP555  ,Portugal,-2.5775,42.6126,11887.2,243.86,777.744,Portugal
a97808,N709WY  ,United States,-85.8907,36.977,5486.4,331.04,436.03200000000004,United States
aa56b8,UAL398  ,United States,-86.7269,42.0179,7673.34,98.96,903.708,United States
a22e91,N24KK   ,United States,-86.3048,36.2123,411.48,335.88,135.972,United States
a1fb33,MXY704  ,United States,-104.0298,36.6123,10972.8,260.22,665.2800000000001,United States
a57b4d,UAL246  ,United States,-87.3116,42.2853,2118.36,200.73,512.856,United States
ad5623,AAL2026 ,United States,-101.067,37.8879,9144.0,263.12,710.748,United States
4952c2,TAP835  ,Portugal,-7.4675,39.1409,9204.96,246.29,796.932,Portugal
440daf,EJU73RH ,Austria,24.3958,35.0607,10972.8,328.14,708.696,Austria
a1c5e0,ENY3954 ,United States,-85.3966,27.3867,10363.2,294.38,717.768,United States
a0f580,N161BB  ,United States,-97.7852,27.918,11582.4,345.76,624.816,United States
a2f8df,N2907Z  ,United States,-80.6691,28.3974,1143.0,0.99,214.848,United States
ae26a5,,United States,-80.1502,25.7865,38.1,338.06,143.748,United States
39de47,TVF77EF ,France,13.2485,55.7228,10668.0,37.19,925.2719999999999,France
ac1c2c,N88HA   ,United States,-82.5957,27.3449,6012.18,152.96,700.704,United States
ad694c,SWA3912 ,United States,-122.1197,37.5971,2606.04,191.7,474.732,United States
ac1c2f,MAD88   ,United States,-85.9648,45.0428,8694.42,318.74,682.416,United States
aa69e0,JRE770  ,United States,-83.048,34.1985,13716.0,75.86,720.036,United States
a34215,EDV5399 ,United States,-93.2556,45.0272,3185.16,121.31,570.1320000000001,United States
a282c2,N261AP  ,United States,-87.4192,36.6317,213.36,167.62,77.724,United States
4952aa,TAP035  ,Portugal,-11.5175,37.7269,9867.9,244.87,859.14,Portugal
80161e,AKJ1804 ,India,77.2053,28.5679,655.32,271.58,268.632,India
ac83b4,N905WA  ,United States,-80.3038,25.9986,274.32,90.67,159.3,United States
4952ac,TAP011  ,Portugal,-9.115,38.895,1592.58,267.51,469.00800000000004,Portugal
a71202,ERY55   ,United States,-80.5381,25.9744,678.18,182.32,411.48,United States
4952ae,TAP282  ,Portugal,-5.1118,36.3772,12192.0,292.97,792.5400000000001,Portugal
